,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
520,Basta,d,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
521,Simic S,d,FRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
522,Vergara,d,CAG,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
523,Bertolacci,c,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,3,-
524,Montolivo,c,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
525,Niang,a,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,11,-
526,Gabriel,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
527,Strinic,d,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
528,Terranova,d,FRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,6,-
529,Padelli,p,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
530,Heurtaux,d,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,2,-
531,Pontisso,c,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
532,Verre,c,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,2,-
533,Rafael,p,CAG,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
534,Kalinic,a,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,15,-
535,Krafth,d,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,3,-
536,Perisan,p,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
537,Belec,p,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
538,Vitale,c,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
539,Tumminello,a,ATA,0,"0,0","0,0",0,0,0 / 0,0,0,1,0,3,-
540,Balic,c,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
541,Caldara,d,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,6,-
542,Di Gennaro D,c,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
543,Munari,c,PAR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
