;Id;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti;;;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti
144;144;13,38853748;3,556842105;7,958842105;8,024368421;0;0;-8,575757576;-0,575757576;3;0;;;;;;;;;;;;
145;145;21,18058352;2,398947368;6,835263158;6,382894737;3;0;-3,436521739;0;6;0;;;;;;;;;;;;
146;146;5,758947368;0,626315789;3,376421053;3,356210526;0;0;-7,6;0;6;0;;;;;;;;;;;;
147;147;7,904148607;1,393157895;4,402315789;5,079263158;0;1;0;0;7,5;-11,47058824;;;;;;;;;;;;
148;148;4,194905263;1,0528;0,821052632;0,821052632;0;0;0;0;1,5;0;;;;;;;;;;;;
149;149;17,1339648;4,012631579;8,327157895;8,403684211;0;0;-11,10950888;0;7,5;0;;;;;;;;;;;;
150;150;16,27484211;4,424736842;6,236842105;5,805263158;0;0;-3,192;0;3;0;;;;;;;;;;;;
151;151;3,941631579;1,161052632;4,152789474;4,127789474;0;0;-7;0;1,5;0;;;;;;;;;;;;
152;152;17,94589474;2,400526316;6,478105263;6,067263158;0;0;0;0;3;0;;;;;;;;;;;;
153;153;22,19305668;2,668947368;7,592263158;7,478;0;0;-3,046153846;0;7,5;0;;;;;;;;;;;;
154;154;13,47502871;5,085263158;9,970105263;10,03784211;0;0;-17,04242424;-0,575757576;6;0;;;;;;;;;;;;
155;155;19,30349805;4,112631579;8,568578947;8,432736842;0;0;-7,464994775;-0,345454545;6;0;;;;;;;;;;;;
156;156;10,19490526;1,0528;0,821052632;0,821052632;0;0;0;0;7,5;0;;;;;;;;;;;;
157;157;25,7056891;4,434210526;10,43905263;9,179105263;0,6;0;-2,833776091;-0,612903226;4,5;0;;;;;;;;;;;;
158;158;11,12239098;1,521052632;4,684631579;4,772421053;0;0;-7,355714286;0;7,5;0;;;;;;;;;;;;
159;159;3,36819883;1,4;5,287263158;5,403157895;0;0;-14,72222222;0;6;0;;;;;;;;;;;;
160;160;9,946463158;0,555936842;2,523947368;2,366578947;0;0;0;0;4,5;0;;;;;;;;;;;;
161;161;25,80163955;5,085263158;10,95142105;10,55889474;0;0;-6,793939394;0;6;0;;;;;;;;;;;;
162;162;5,339138756;0,859473684;4,182210526;4,077;0;0;-6,779545455;0;3;0;;;;;;;;;;;;
163;163;24,45473684;2,95;7,128631579;6,876105263;0;0;0;0;7,5;0;;;;;;;;;;;;
164;164;19,2672925;2,976989474;6,51;5,85;3;0;-2,418181818;-1,151515152;4,5;0;;;;;;;;;;;;
165;165;5,694905263;1,0528;0,821052632;0,821052632;0;0;0;0;3;0;;;;;;;;;;;;
166;166;-3,30102834;1,094736842;4,403578947;4,477578947;0;0;-19,27692308;0;6;0;;;;;;;;;;;;
167;167;22,42210526;5,474736842;7,082105263;6,865263158;0;0;0;0;3;0;;;;;;;;;;;;
168;168;12,09406935;4,6;9,612947368;9,584063158;0;0;-16,20294118;0;4,5;0;;;;;;;;;;;;
169;169;-11,38612281;0,686315789;3,167210526;3,293684211;0;0;-21,53333333;0;3;0;;;;;;;;;;;;
170;170;6,592437247;1,755368421;3,110842105;3,110842105;0;0;-4,384615385;0;3;0;;;;;;;;;;;;
171;171;21,38543421;5,160526316;10,29863158;10,04752632;0;0;-8,62125;0;4,5;0;;;;;;;;;;;;
172;172;2,037447368;1,577894737;5,418526316;5,578526316;0;0;-12,825;-0,7125;3;0;;;;;;;;;;;;
173;173;2,950147368;0,240147368;1,392105263;1,417894737;0;0;-7,6;0;7,5;0;;;;;;;;;;;;
174;174;11,59076401;3,240526316;8,210789474;7,778157895;0;0;-15,13870968;0;7,5;0;;;;;;;;;;;;
175;175;17,08315789;2,493684211;7,122105263;6,407368421;0;0;-4,94;0;6;0;;;;;;;;;;;;
176;176;20,64566409;3,632631579;8,220947368;8,159684211;0;0;-6,291841492;-0,575757576;7,5;0;;;;;;;;;;;;
177;177;11,84226721;0,766315789;3,562105263;3,56;0;0;-2,046153846;0;6;0;;;;;;;;;;;;
178;178;7,597866667;0,963831579;3,064736842;3,102631579;0;0;-1,477777778;-1,055555556;3;0;;;;;;;;;;;;
179;179;12,76361107;1,445536842;3,281842105;3,249052632;0;0;-2,712820513;0;7,5;0;;;;;;;;;;;;
180;180;5,584252632;0,2632;0,410526316;0,410526316;0;0;0;0;4,5;0;;;;;;;;;;;;
181;181;4,084252632;0,2632;0,410526316;0,410526316;0;0;0;0;3;0;;;;;;;;;;;;
182;182;11,7517731;2,631831579;4,239473684;4,291578947;0;0;-6,911111111;0;7,5;0;;;;;;;;;;;;
183;183;4,351115789;0,707957895;2,218421053;2,244736842;0;0;-5,32;0;4,5;0;;;;;;;;;;;;
184;184;10,70735789;1,992357895;2,896578947;2,818421053;0;0;0;0;3;0;;;;;;;;;;;;
185;185;9,083012865;0,963831579;3,325263158;3,249473684;0;0;-2,955555556;0;4,5;0;;;;;;;;;;;;
186;186;5,694905263;1,0528;0,821052632;0,821052632;0;0;0;0;3;0;;;;;;;;;;;;
187;187;5,6612;0,113831579;0,523684211;0,523684211;0;0;0;0;4,5;0;;;;;;;;;;;;
188;188;7,840147368;0,134884211;0,852631579;0,852631579;0;0;0;0;6;0;;;;;;;;;;;;
189;189;7,084252632;0,2632;0,410526316;0,410526316;0;0;0;0;6;0;;;;;;;;;;;;
190;190;10,19490526;1,0528;0,821052632;0,821052632;0;0;0;0;7,5;0;;;;;;;;;;;;
191;191;2,584252632;0,2632;0,410526316;0,410526316;0;0;0;0;1,5;0;;;;;;;;;;;;
192;192;4,084252632;0,2632;0,410526316;0,410526316;0;0;0;0;3;0;;;;;;;;;;;;
193;193;4,194905263;1,0528;0,821052632;0,821052632;0;0;0;0;1,5;0;;;;;;;;;;;;
194;194;11,99541053;4,2112;1,642105263;1,642105263;0;0;0;0;4,5;0;;;;;;;;;;;;
195;195;6,331957895;2,3688;1,231578947;1,231578947;0;0;0;0;1,5;0;;;;;;;;;;;;
196;196;10,19490526;1,0528;0,821052632;0,821052632;0;0;0;0;7,5;0;;;;;;;;;;;;
197;197;8,584252632;0,2632;0,410526316;0,410526316;0;0;0;0;7,5;0;;;;;;;;;;;;
198;198;4,084252632;0,2632;0,410526316;0,410526316;0;0;0;0;3;0;;;;;;;;;;;;
199;199;6,331957895;2,3688;1,231578947;1,231578947;0;0;0;0;1,5;0;;;;;;;;;;;;
200;200;7,200185965;2,3688;1,231578947;1,266473684;0;0;-0,666666667;0;3;0;;;;;;;;;;;;
201;201;3,737894737;1,577894737;4,787052632;4,672947368;0;0;-13,3;0;6;0;;;;;;;;;;;;
202;202;4,653684211;1,213157895;4,732105263;4,658421053;0;0;-9,2625;-1,1875;4,5;0;;;;;;;;;;;;
203;203;14,25992026;5,645789474;7,073684211;7,001052632;0;0;-8,460606061;0;3;0;;;;;;;;;;;;
204;204;22,38246053;4,18;9,61;9,286210526;0;0;-4,8375;-0,35625;4,5;0;;;;;;;;;;;;
205;205;23,84996241;4,961578947;9,758473684;9,847052632;0;0;-7,674285714;-0,542857143;7,5;0;;;;;;;;;;;;
206;206;11,55105263;6,58;2,018421053;2,052631579;0;0;-0,6;0;1,5;0;;;;;;;;;;;;
207;207;15,76435088;2,359473684;6,866684211;6,821526316;0;0;-4,783333333;0;4,5;0;;;;;;;;;;;;
